Channel,Date,Total Starts,Net New Subs,Total Subs,Average of Churn
Masterpiece (US),2024-05-01,74712.16326530612,3439.5,1538182.125,0.10028571428571428
Masterpiece (US),2024-06-01,78322.44897959183,6370.5,1544693.875,0.10028571428571428
Masterpiece (US),2024-07-01,86893.38775510203,26814.75,1575057.25,0.09642857142857142
Masterpiece (US),2024-08-01,71018.85714285714,-3129.0,1570486.25,0.09642857142857142
Masterpiece (US),2024-09-01,65537.30612244898,-14370.75,1552799.875,0.09642857142857142
Masterpiece (US),2024-10-01,65197.142857142855,3693.75,1556188.75,0.09642857142857142
Masterpiece (US),2024-11-01,74311.02040816327,20132.25,1578755.875,0.09642857142857142
Masterpiece (US),2024-12-01,90075.3469387755,29182.5,1611881.625,0.09642857142857142
Masterpiece (US),2025-01-01,115057.14285714286,16105.5,1629750.875,0.04017857142857143
Masterpiece (US),2025-02-01,79470.04081632652,-3413.25,1624848.25,0.04017857142857143
Masterpiece (US),2025-03-01,82053.95918367346,1392.0,1625551.75,0.04017857142857143
Masterpiece (US),2025-04-01,88985.06122448978,12949.5,1639739.0,0.04017857142857143
Masterpiece (US),2025-05-01,108098.85714285713,26172.75,1669353.375,0.10446428571428572
Masterpiece (US),2025-06-01,84143.42857142857,7709.25,1677427.0,0.10767857142857143
Masterpiece (US),2025-07-01,102277.14285714286,27744.75,1708875.375,0.06796956762068541
Masterpiece (US),2025-08-01,98480.24489795917,-23636.25,1680379.25,0.0790285550490022
Masterpiece (US),2025-09-01,89087.91836734692,-6072.0,1672374.75,0.12733663193687605
Masterpiece (US),2025-10-01,95810.36734693876,-5852.25,1664626.625,0.09221984149119695
Masterpiece (US),2025-11-01,107327.42857142857,21623.25,1688933.25,0.09901931040709863
Masterpiece (US),2025-12-01,96521.55102040815,17526.0,1708459.75,0.0969172808891912
